"Region","Year","Race/Ethnicity","Location of Placement","Type of Placement","Measure Type","Variable","Value"
"Region 3: Eastern","SFY 2010-2011","Other","In State","Relative Foster Care","Number","Children in Placement",15
"Region 3: Eastern","SFY 2010-2011","Other","In State","Special Study","Number","Children in Placement",8
"Region 3: Eastern","SFY 2010-2011","Other","In State","Therapeutic Foster Care","Number","Children in Placement",14
"Region 3: Eastern","SFY 2010-2011","Other","In State","PDC or Safe Home","Number","Children in Placement",3
"Region 3: Eastern","SFY 2010-2011","Other","In State","Shelter","Number","Children in Placement",1
"Region 3: Eastern","SFY 2010-2011","Other","In State","Group Home","Number","Children in Placement",3
"Region 3: Eastern","SFY 2010-2011","Other","In State","Residential Treatment Center","Number","Children in Placement",5
"Region 3: Eastern","SFY 2010-2011","Other","In State","High Meadows","Number","Children in Placement",0
"Region 3: Eastern","SFY 2010-2011","Other","In State","Solnit Center","Number","Children in Placement",1
"Region 3: Eastern","SFY 2010-2011","Other","In State","Connecticut Juvenile Training School","Number","Children in Placement",2
"Region 3: Eastern","SFY 2010-2011","Other","In State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",0
"Region 3: Eastern","SFY 2010-2011","Other","In State","Independent Living","Number","Children in Placement",0
"Region 3: Eastern","SFY 2010-2011","Other","In State","Total","Number","Children in Placement",98
"Region 3: Eastern","SFY 2010-2011","Other","Out of State","Foster Care","Number","Children in Placement",0
"Region 3: Eastern","SFY 2010-2011","Other","Out of State","Relative Foster Care","Number","Children in Placement",3
"Region 3: Eastern","SFY 2010-2011","Other","Out of State","Special Study","Number","Children in Placement",0
"Region 3: Eastern","SFY 2010-2011","Other","Out of State","Therapeutic Foster Care","Number","Children in Placement",0
"Region 3: Eastern","SFY 2010-2011","Other","Out of State","PDC or Safe Home","Number","Children in Placement",0
"Region 3: Eastern","SFY 2010-2011","Other","Out of State","Shelter","Number","Children in Placement",0
"Region 3: Eastern","SFY 2010-2011","Other","Out of State","Group Home","Number","Children in Placement",0
"Region 3: Eastern","SFY 2010-2011","Other","Out of State","Residential Treatment Center","Number","Children in Placement",4
"Region 3: Eastern","SFY 2010-2011","Other","Out of State","High Meadows","Number","Children in Placement",0
"Region 3: Eastern","SFY 2010-2011","Other","Out of State","Solnit Center","Number","Children in Placement",0
"Region 3: Eastern","SFY 2010-2011","Other","Out of State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 3: Eastern","SFY 2010-2011","Other","Out of State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",0
"Region 3: Eastern","SFY 2010-2011","Other","Out of State","Independent Living","Number","Children in Placement",0
"Region 3: Eastern","SFY 2010-2011","Other","Out of State","Total","Number","Children in Placement",7
"Region 3: Eastern","SFY 2010-2011","Total","In State","Foster Care","Number","Children in Placement",321
"Region 3: Eastern","SFY 2010-2011","Total","In State","Relative Foster Care","Number","Children in Placement",93
"Region 3: Eastern","SFY 2010-2011","Total","In State","Special Study","Number","Children in Placement",57
"Region 3: Eastern","SFY 2010-2011","Total","In State","Therapeutic Foster Care","Number","Children in Placement",120
"Region 3: Eastern","SFY 2010-2011","Total","In State","PDC or Safe Home","Number","Children in Placement",29
"Region 3: Eastern","SFY 2010-2011","Total","In State","Shelter","Number","Children in Placement",13
"Region 3: Eastern","SFY 2010-2011","Total","In State","Group Home","Number","Children in Placement",60
"Region 3: Eastern","SFY 2010-2011","Total","In State","Residential Treatment Center","Number","Children in Placement",46
"Region 3: Eastern","SFY 2010-2011","Total","In State","High Meadows","Number","Children in Placement",0
"Region 3: Eastern","SFY 2010-2011","Total","In State","Solnit Center","Number","Children in Placement",9
"Region 3: Eastern","SFY 2010-2011","Total","In State","Connecticut Juvenile Training School","Number","Children in Placement",8
"Region 3: Eastern","SFY 2010-2011","Total","In State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",2
"Region 3: Eastern","SFY 2010-2011","Total","In State","Independent Living","Number","Children in Placement",19
"Region 3: Eastern","SFY 2010-2011","Total","In State","Total","Number","Children in Placement",777
"Region 3: Eastern","SFY 2010-2011","Total","Out of State","Foster Care","Number","Children in Placement",5
"Region 3: Eastern","SFY 2010-2011","Total","Out of State","Relative Foster Care","Number","Children in Placement",14
"Region 3: Eastern","SFY 2010-2011","Total","Out of State","Special Study","Number","Children in Placement",1
"Region 3: Eastern","SFY 2010-2011","Total","Out of State","Therapeutic Foster Care","Number","Children in Placement",4
"Region 3: Eastern","SFY 2010-2011","Total","Out of State","PDC or Safe Home","Number","Children in Placement",0
"Region 3: Eastern","SFY 2010-2011","Total","Out of State","Shelter","Number","Children in Placement",0
"Region 3: Eastern","SFY 2010-2011","Total","Out of State","Group Home","Number","Children in Placement",1
"Region 3: Eastern","SFY 2010-2011","Total","Out of State","Residential Treatment Center","Number","Children in Placement",59
"Region 3: Eastern","SFY 2010-2011","Total","Out of State","High Meadows","Number","Children in Placement",0
"Region 3: Eastern","SFY 2010-2011","Total","Out of State","Solnit Center","Number","Children in Placement",0
"Region 3: Eastern","SFY 2010-2011","Total","Out of State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 3: Eastern","SFY 2010-2011","Total","Out of State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",0
"Region 3: Eastern","SFY 2010-2011","Total","Out of State","Independent Living","Number","Children in Placement",0
"Region 3: Eastern","SFY 2010-2011","Total","Out of State","Total","Number","Children in Placement",84
"Region 3: Eastern","SFY 2011-2012","White","In State","Foster Care","Number","Children in Placement",138
"Region 3: Eastern","SFY 2011-2012","White","In State","Relative Foster Care","Number","Children in Placement",83
"Region 3: Eastern","SFY 2011-2012","White","In State","Special Study","Number","Children in Placement",15
"Region 3: Eastern","SFY 2011-2012","White","In State","Therapeutic Foster Care","Number","Children in Placement",68
"Region 3: Eastern","SFY 2011-2012","White","In State","PDC or Safe Home","Number","Children in Placement",9
"Region 3: Eastern","SFY 2011-2012","White","In State","Shelter","Number","Children in Placement",6
"Region 3: Eastern","SFY 2011-2012","White","In State","Group Home","Number","Children in Placement",43
"Region 3: Eastern","SFY 2011-2012","White","In State","Residential Treatment Center","Number","Children in Placement",22
"Region 3: Eastern","SFY 2011-2012","White","In State","High Meadows","Number","Children in Placement",0
"Region 3: Eastern","SFY 2011-2012","White","In State","Solnit Center","Number","Children in Placement",3
"Region 3: Eastern","SFY 2011-2012","White","In State","Connecticut Juvenile Training School","Number","Children in Placement",7
"Region 3: Eastern","SFY 2011-2012","White","In State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",2
"Region 3: Eastern","SFY 2011-2012","White","In State","Independent Living","Number","Children in Placement",9
"Region 3: Eastern","SFY 2011-2012","White","In State","Total","Number","Children in Placement",405
"Region 3: Eastern","SFY 2011-2012","White","Out of State","Foster Care","Number","Children in Placement",3
"Region 3: Eastern","SFY 2011-2012","White","Out of State","Relative Foster Care","Number","Children in Placement",11
"Region 3: Eastern","SFY 2011-2012","White","Out of State","Special Study","Number","Children in Placement",2
"Region 3: Eastern","SFY 2011-2012","White","Out of State","Therapeutic Foster Care","Number","Children in Placement",0
"Region 3: Eastern","SFY 2011-2012","White","Out of State","PDC or Safe Home","Number","Children in Placement",0
"Region 3: Eastern","SFY 2011-2012","White","Out of State","Shelter","Number","Children in Placement",0
"Region 3: Eastern","SFY 2011-2012","White","Out of State","Group Home","Number","Children in Placement",0
"Region 3: Eastern","SFY 2011-2012","White","Out of State","Residential Treatment Center","Number","Children in Placement",34
"Region 3: Eastern","SFY 2011-2012","White","Out of State","High Meadows","Number","Children in Placement",0
"Region 3: Eastern","SFY 2011-2012","White","Out of State","Solnit Center","Number","Children in Placement",0
"Region 3: Eastern","SFY 2011-2012","White","Out of State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 3: Eastern","SFY 2011-2012","White","Out of State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",0
"Region 3: Eastern","SFY 2011-2012","White","Out of State","Independent Living","Number","Children in Placement",0
"Region 3: Eastern","SFY 2011-2012","White","Out of State","Total","Number","Children in Placement",50
"Region 3: Eastern","SFY 2011-2012","Black","In State","Foster Care","Number","Children in Placement",43
"Region 3: Eastern","SFY 2011-2012","Black","In State","Relative Foster Care","Number","Children in Placement",17
"Region 3: Eastern","SFY 2011-2012","Black","In State","Special Study","Number","Children in Placement",6
"Region 3: Eastern","SFY 2011-2012","Black","In State","Therapeutic Foster Care","Number","Children in Placement",26
"Region 3: Eastern","SFY 2011-2012","Black","In State","PDC or Safe Home","Number","Children in Placement",3
"Region 3: Eastern","SFY 2011-2012","Black","In State","Shelter","Number","Children in Placement",4
"Region 3: Eastern","SFY 2011-2012","Black","In State","Group Home","Number","Children in Placement",6
"Region 3: Eastern","SFY 2011-2012","Black","In State","Residential Treatment Center","Number","Children in Placement",4
"Region 3: Eastern","SFY 2011-2012","Black","In State","High Meadows","Number","Children in Placement",0
"Region 3: Eastern","SFY 2011-2012","Black","In State","Solnit Center","Number","Children in Placement",1
"Region 3: Eastern","SFY 2011-2012","Black","In State","Connecticut Juvenile Training School","Number","Children in Placement",2
"Region 3: Eastern","SFY 2011-2012","Black","In State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",2
"Region 3: Eastern","SFY 2011-2012","Black","In State","Independent Living","Number","Children in Placement",2
"Region 3: Eastern","SFY 2011-2012","Black","In State","Total","Number","Children in Placement",116
"Region 3: Eastern","SFY 2011-2012","Black","Out of State","Foster Care","Number","Children in Placement",1
"Region 3: Eastern","SFY 2011-2012","Black","Out of State","Relative Foster Care","Number","Children in Placement",5
"Region 3: Eastern","SFY 2011-2012","Black","Out of State","Special Study","Number","Children in Placement",0
"Region 3: Eastern","SFY 2011-2012","Black","Out of State","Therapeutic Foster Care","Number","Children in Placement",3
"Region 3: Eastern","SFY 2011-2012","Black","Out of State","PDC or Safe Home","Number","Children in Placement",0
"Region 3: Eastern","SFY 2011-2012","Black","Out of State","Shelter","Number","Children in Placement",0
"Region 3: Eastern","SFY 2011-2012","Black","Out of State","Group Home","Number","Children in Placement",0
"Region 3: Eastern","SFY 2011-2012","Black","Out of State","Residential Treatment Center","Number","Children in Placement",3
"Region 3: Eastern","SFY 2011-2012","Black","Out of State","High Meadows","Number","Children in Placement",0
"Region 3: Eastern","SFY 2011-2012","Black","Out of State","Solnit Center","Number","Children in Placement",0
"Region 3: Eastern","SFY 2011-2012","Black","Out of State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 3: Eastern","SFY 2011-2012","Black","Out of State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",0
"Region 3: Eastern","SFY 2011-2012","Black","Out of State","Independent Living","Number","Children in Placement",0
"Region 3: Eastern","SFY 2011-2012","Black","Out of State","Total","Number","Children in Placement",12
"Region 3: Eastern","SFY 2011-2012","Hispanic","In State","Foster Care","Number","Children in Placement",48
"Region 3: Eastern","SFY 2011-2012","Hispanic","In State","Relative Foster Care","Number","Children in Placement",25
"Region 3: Eastern","SFY 2011-2012","Hispanic","In State","Special Study","Number","Children in Placement",9
"Region 3: Eastern","SFY 2011-2012","Hispanic","In State","Therapeutic Foster Care","Number","Children in Placement",25
"Region 3: Eastern","SFY 2011-2012","Hispanic","In State","PDC or Safe Home","Number","Children in Placement",2
"Region 3: Eastern","SFY 2011-2012","Hispanic","In State","Shelter","Number","Children in Placement",2
"Region 3: Eastern","SFY 2011-2012","Hispanic","In State","Group Home","Number","Children in Placement",9
"Region 3: Eastern","SFY 2011-2012","Hispanic","In State","Residential Treatment Center","Number","Children in Placement",3
"Region 3: Eastern","SFY 2011-2012","Hispanic","In State","High Meadows","Number","Children in Placement",0
"Region 3: Eastern","SFY 2011-2012","Hispanic","In State","Solnit Center","Number","Children in Placement",2
"Region 3: Eastern","SFY 2011-2012","Hispanic","In State","Connecticut Juvenile Training School","Number","Children in Placement",1
"Region 3: Eastern","SFY 2011-2012","Hispanic","In State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",0
"Region 3: Eastern","SFY 2011-2012","Hispanic","In State","Independent Living","Number","Children in Placement",3
"Region 3: Eastern","SFY 2011-2012","Hispanic","In State","Total","Number","Children in Placement",129
"Region 3: Eastern","SFY 2011-2012","Hispanic","Out of State","Foster Care","Number","Children in Placement",1
"Region 3: Eastern","SFY 2011-2012","Hispanic","Out of State","Relative Foster Care","Number","Children in Placement",3
"Region 3: Eastern","SFY 2011-2012","Hispanic","Out of State","Special Study","Number","Children in Placement",0
"Region 3: Eastern","SFY 2011-2012","Hispanic","Out of State","Therapeutic Foster Care","Number","Children in Placement",0
"Region 3: Eastern","SFY 2011-2012","Hispanic","Out of State","PDC or Safe Home","Number","Children in Placement",0
"Region 3: Eastern","SFY 2011-2012","Hispanic","Out of State","Shelter","Number","Children in Placement",0
"Region 3: Eastern","SFY 2011-2012","Hispanic","Out of State","Group Home","Number","Children in Placement",0
"Region 3: Eastern","SFY 2011-2012","Hispanic","Out of State","Residential Treatment Center","Number","Children in Placement",15
"Region 3: Eastern","SFY 2011-2012","Hispanic","Out of State","High Meadows","Number","Children in Placement",0
"Region 3: Eastern","SFY 2011-2012","Hispanic","Out of State","Solnit Center","Number","Children in Placement",0
"Region 3: Eastern","SFY 2011-2012","Hispanic","Out of State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 3: Eastern","SFY 2011-2012","Hispanic","Out of State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",0
"Region 3: Eastern","SFY 2011-2012","Hispanic","Out of State","Independent Living","Number","Children in Placement",0
"Region 3: Eastern","SFY 2011-2012","Hispanic","Out of State","Total","Number","Children in Placement",19
"Region 3: Eastern","SFY 2011-2012","Other","In State","Foster Care","Number","Children in Placement",35
"Region 3: Eastern","SFY 2011-2012","Other","In State","Relative Foster Care","Number","Children in Placement",14
"Region 3: Eastern","SFY 2011-2012","Other","In State","Special Study","Number","Children in Placement",9
"Region 3: Eastern","SFY 2011-2012","Other","In State","Therapeutic Foster Care","Number","Children in Placement",15
"Region 3: Eastern","SFY 2011-2012","Other","In State","PDC or Safe Home","Number","Children in Placement",1
"Region 3: Eastern","SFY 2011-2012","Other","In State","Shelter","Number","Children in Placement",2
"Region 3: Eastern","SFY 2011-2012","Other","In State","Group Home","Number","Children in Placement",7
"Region 3: Eastern","SFY 2011-2012","Other","In State","Residential Treatment Center","Number","Children in Placement",4
"Region 3: Eastern","SFY 2011-2012","Other","In State","High Meadows","Number","Children in Placement",0
"Region 3: Eastern","SFY 2011-2012","Other","In State","Solnit Center","Number","Children in Placement",0
"Region 3: Eastern","SFY 2011-2012","Other","In State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 3: Eastern","SFY 2011-2012","Other","In State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",0
"Region 3: Eastern","SFY 2011-2012","Other","In State","Independent Living","Number","Children in Placement",2
"Region 3: Eastern","SFY 2011-2012","Other","In State","Total","Number","Children in Placement",89
"Region 3: Eastern","SFY 2011-2012","Other","Out of State","Foster Care","Number","Children in Placement",0
"Region 3: Eastern","SFY 2011-2012","Other","Out of State","Relative Foster Care","Number","Children in Placement",1
"Region 3: Eastern","SFY 2011-2012","Other","Out of State","Special Study","Number","Children in Placement",2
"Region 3: Eastern","SFY 2011-2012","Other","Out of State","Therapeutic Foster Care","Number","Children in Placement",0
"Region 3: Eastern","SFY 2011-2012","Other","Out of State","PDC or Safe Home","Number","Children in Placement",0
"Region 3: Eastern","SFY 2011-2012","Other","Out of State","Shelter","Number","Children in Placement",0
"Region 3: Eastern","SFY 2011-2012","Other","Out of State","Group Home","Number","Children in Placement",0
"Region 3: Eastern","SFY 2011-2012","Other","Out of State","Residential Treatment Center","Number","Children in Placement",2
"Region 3: Eastern","SFY 2011-2012","Other","Out of State","High Meadows","Number","Children in Placement",0
"Region 3: Eastern","SFY 2011-2012","Other","Out of State","Solnit Center","Number","Children in Placement",0
"Region 3: Eastern","SFY 2011-2012","Other","Out of State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 3: Eastern","SFY 2011-2012","Other","Out of State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",0
"Region 3: Eastern","SFY 2011-2012","Other","Out of State","Independent Living","Number","Children in Placement",0
"Region 3: Eastern","SFY 2011-2012","Other","Out of State","Total","Number","Children in Placement",5
"Region 3: Eastern","SFY 2011-2012","Total","In State","Foster Care","Number","Children in Placement",264
"Region 3: Eastern","SFY 2011-2012","Total","In State","Relative Foster Care","Number","Children in Placement",139
"Region 3: Eastern","SFY 2011-2012","Total","In State","Special Study","Number","Children in Placement",39
"Region 3: Eastern","SFY 2011-2012","Total","In State","Therapeutic Foster Care","Number","Children in Placement",134
"Region 3: Eastern","SFY 2011-2012","Total","In State","PDC or Safe Home","Number","Children in Placement",15
"Region 3: Eastern","SFY 2011-2012","Total","In State","Shelter","Number","Children in Placement",14
"Region 3: Eastern","SFY 2011-2012","Total","In State","Group Home","Number","Children in Placement",65
"Region 3: Eastern","SFY 2011-2012","Total","In State","Residential Treatment Center","Number","Children in Placement",33
"Region 3: Eastern","SFY 2011-2012","Total","In State","High Meadows","Number","Children in Placement",0
"Region 3: Eastern","SFY 2011-2012","Total","In State","Solnit Center","Number","Children in Placement",6
"Region 3: Eastern","SFY 2011-2012","Total","In State","Connecticut Juvenile Training School","Number","Children in Placement",10
"Region 3: Eastern","SFY 2011-2012","Total","In State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",4
"Region 3: Eastern","SFY 2011-2012","Total","In State","Independent Living","Number","Children in Placement",16
"Region 3: Eastern","SFY 2011-2012","Total","In State","Total","Number","Children in Placement",739
"Region 3: Eastern","SFY 2011-2012","Total","Out of State","Foster Care","Number","Children in Placement",5
"Region 3: Eastern","SFY 2011-2012","Total","Out of State","Relative Foster Care","Number","Children in Placement",20
"Region 3: Eastern","SFY 2011-2012","Total","Out of State","Special Study","Number","Children in Placement",4
"Region 3: Eastern","SFY 2011-2012","Total","Out of State","Therapeutic Foster Care","Number","Children in Placement",3
"Region 3: Eastern","SFY 2011-2012","Total","Out of State","PDC or Safe Home","Number","Children in Placement",0
"Region 3: Eastern","SFY 2011-2012","Total","Out of State","Shelter","Number","Children in Placement",0
"Region 3: Eastern","SFY 2011-2012","Total","Out of State","Group Home","Number","Children in Placement",0
"Region 3: Eastern","SFY 2011-2012","Total","Out of State","Residential Treatment Center","Number","Children in Placement",54
"Region 3: Eastern","SFY 2011-2012","Total","Out of State","High Meadows","Number","Children in Placement",0
"Region 3: Eastern","SFY 2011-2012","Total","Out of State","Solnit Center","Number","Children in Placement",0
"Region 3: Eastern","SFY 2011-2012","Total","Out of State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 3: Eastern","SFY 2011-2012","Total","Out of State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",0
"Region 3: Eastern","SFY 2011-2012","Total","Out of State","Independent Living","Number","Children in Placement",0
"Region 3: Eastern","SFY 2011-2012","Total","Out of State","Total","Number","Children in Placement",86
"Region 3: Eastern","SFY 2012-2013","White","In State","Foster Care","Number","Children in Placement",141
"Region 3: Eastern","SFY 2012-2013","White","In State","Relative Foster Care","Number","Children in Placement",97
"Region 3: Eastern","SFY 2012-2013","White","In State","Special Study","Number","Children in Placement",23
"Region 3: Eastern","SFY 2012-2013","White","In State","Therapeutic Foster Care","Number","Children in Placement",73
"Region 3: Eastern","SFY 2012-2013","White","In State","PDC or Safe Home","Number","Children in Placement",7
"Region 3: Eastern","SFY 2012-2013","White","In State","Shelter","Number","Children in Placement",9
"Region 3: Eastern","SFY 2012-2013","White","In State","Group Home","Number","Children in Placement",39
"Region 3: Eastern","SFY 2012-2013","White","In State","Residential Treatment Center","Number","Children in Placement",22
"Region 3: Eastern","SFY 2012-2013","White","In State","High Meadows","Number","Children in Placement",0
"Region 3: Eastern","SFY 2012-2013","White","In State","Solnit Center","Number","Children in Placement",6
"Region 3: Eastern","SFY 2012-2013","White","In State","Connecticut Juvenile Training School","Number","Children in Placement",4
"Region 3: Eastern","SFY 2012-2013","White","In State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",0
"Region 3: Eastern","SFY 2012-2013","White","In State","Independent Living","Number","Children in Placement",6
"Region 3: Eastern","SFY 2012-2013","White","In State","Total","Number","Children in Placement",427
"Region 3: Eastern","SFY 2012-2013","White","Out of State","Foster Care","Number","Children in Placement",4
"Region 3: Eastern","SFY 2012-2013","White","Out of State","Relative Foster Care","Number","Children in Placement",12
"Region 3: Eastern","SFY 2012-2013","White","Out of State","Special Study","Number","Children in Placement",1
"Region 3: Eastern","SFY 2012-2013","White","Out of State","Therapeutic Foster Care","Number","Children in Placement",0
"Region 3: Eastern","SFY 2012-2013","White","Out of State","PDC or Safe Home","Number","Children in Placement",0
"Region 3: Eastern","SFY 2012-2013","White","Out of State","Shelter","Number","Children in Placement",0
"Region 3: Eastern","SFY 2012-2013","White","Out of State","Group Home","Number","Children in Placement",0
"Region 3: Eastern","SFY 2012-2013","White","Out of State","Residential Treatment Center","Number","Children in Placement",18
"Region 3: Eastern","SFY 2012-2013","White","Out of State","High Meadows","Number","Children in Placement",0
"Region 3: Eastern","SFY 2012-2013","White","Out of State","Solnit Center","Number","Children in Placement",0
"Region 3: Eastern","SFY 2012-2013","White","Out of State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 3: Eastern","SFY 2012-2013","White","Out of State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",0
"Region 3: Eastern","SFY 2012-2013","White","Out of State","Independent Living","Number","Children in Placement",0
"Region 3: Eastern","SFY 2012-2013","White","Out of State","Total","Number","Children in Placement",35
"Region 3: Eastern","SFY 2012-2013","Black","In State","Foster Care","Number","Children in Placement",35
"Region 3: Eastern","SFY 2012-2013","Black","In State","Relative Foster Care","Number","Children in Placement",24
"Region 3: Eastern","SFY 2012-2013","Black","In State","Special Study","Number","Children in Placement",5
"Region 3: Eastern","SFY 2012-2013","Black","In State","Therapeutic Foster Care","Number","Children in Placement",21
"Region 3: Eastern","SFY 2012-2013","Black","In State","PDC or Safe Home","Number","Children in Placement",2
"Region 3: Eastern","SFY 2012-2013","Black","In State","Shelter","Number","Children in Placement",1
"Region 3: Eastern","SFY 2012-2013","Black","In State","Group Home","Number","Children in Placement",3
"Region 3: Eastern","SFY 2012-2013","Black","In State","Residential Treatment Center","Number","Children in Placement",7
"Region 3: Eastern","SFY 2012-2013","Black","In State","High Meadows","Number","Children in Placement",0
"Region 3: Eastern","SFY 2012-2013","Black","In State","Solnit Center","Number","Children in Placement",2
"Region 3: Eastern","SFY 2012-2013","Black","In State","Connecticut Juvenile Training School","Number","Children in Placement",2
"Region 3: Eastern","SFY 2012-2013","Black","In State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",1
"Region 3: Eastern","SFY 2012-2013","Black","In State","Independent Living","Number","Children in Placement",6
"Region 3: Eastern","SFY 2012-2013","Black","In State","Total","Number","Children in Placement",109
"Region 3: Eastern","SFY 2012-2013","Black","Out of State","Foster Care","Number","Children in Placement",1
"Region 3: Eastern","SFY 2012-2013","Black","Out of State","Relative Foster Care","Number","Children in Placement",5
"Region 3: Eastern","SFY 2012-2013","Black","Out of State","Special Study","Number","Children in Placement",0
"Region 3: Eastern","SFY 2012-2013","Black","Out of State","Therapeutic Foster Care","Number","Children in Placement",1
"Region 3: Eastern","SFY 2012-2013","Black","Out of State","PDC or Safe Home","Number","Children in Placement",0
"Region 3: Eastern","SFY 2012-2013","Black","Out of State","Shelter","Number","Children in Placement",0
"Region 3: Eastern","SFY 2012-2013","Black","Out of State","Group Home","Number","Children in Placement",0
"Region 3: Eastern","SFY 2012-2013","Black","Out of State","Residential Treatment Center","Number","Children in Placement",0
"Region 3: Eastern","SFY 2012-2013","Black","Out of State","High Meadows","Number","Children in Placement",0
"Region 3: Eastern","SFY 2012-2013","Black","Out of State","Solnit Center","Number","Children in Placement",0
"Region 3: Eastern","SFY 2012-2013","Black","Out of State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 3: Eastern","SFY 2012-2013","Black","Out of State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",1
"Region 3: Eastern","SFY 2012-2013","Black","Out of State","Independent Living","Number","Children in Placement",0
"Region 3: Eastern","SFY 2012-2013","Black","Out of State","Total","Number","Children in Placement",8
"Region 3: Eastern","SFY 2012-2013","Hispanic","In State","Foster Care","Number","Children in Placement",52
"Region 3: Eastern","SFY 2012-2013","Hispanic","In State","Relative Foster Care","Number","Children in Placement",18
"Region 3: Eastern","SFY 2012-2013","Hispanic","In State","Special Study","Number","Children in Placement",11
"Region 3: Eastern","SFY 2012-2013","Hispanic","In State","Therapeutic Foster Care","Number","Children in Placement",26
"Region 3: Eastern","SFY 2012-2013","Hispanic","In State","PDC or Safe Home","Number","Children in Placement",1
"Region 3: Eastern","SFY 2012-2013","Hispanic","In State","Shelter","Number","Children in Placement",1
"Region 3: Eastern","SFY 2012-2013","Hispanic","In State","Group Home","Number","Children in Placement",9
"Region 3: Eastern","SFY 2012-2013","Hispanic","In State","Residential Treatment Center","Number","Children in Placement",10
"Region 3: Eastern","SFY 2012-2013","Hispanic","In State","High Meadows","Number","Children in Placement",0
"Region 3: Eastern","SFY 2012-2013","Hispanic","In State","Solnit Center","Number","Children in Placement",2
"Region 3: Eastern","SFY 2012-2013","Hispanic","In State","Connecticut Juvenile Training School","Number","Children in Placement",2
"Region 3: Eastern","SFY 2012-2013","Hispanic","In State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",1
"Region 3: Eastern","SFY 2012-2013","Hispanic","In State","Independent Living","Number","Children in Placement",1
"Region 3: Eastern","SFY 2012-2013","Hispanic","In State","Total","Number","Children in Placement",134
"Region 3: Eastern","SFY 2012-2013","Hispanic","Out of State","Foster Care","Number","Children in Placement",2
"Region 3: Eastern","SFY 2012-2013","Hispanic","Out of State","Relative Foster Care","Number","Children in Placement",6
"Region 3: Eastern","SFY 2012-2013","Hispanic","Out of State","Special Study","Number","Children in Placement",0
"Region 3: Eastern","SFY 2012-2013","Hispanic","Out of State","Therapeutic Foster Care","Number","Children in Placement",0
"Region 3: Eastern","SFY 2012-2013","Hispanic","Out of State","PDC or Safe Home","Number","Children in Placement",0
"Region 3: Eastern","SFY 2012-2013","Hispanic","Out of State","Shelter","Number","Children in Placement",0
"Region 3: Eastern","SFY 2012-2013","Hispanic","Out of State","Group Home","Number","Children in Placement",0
"Region 3: Eastern","SFY 2012-2013","Hispanic","Out of State","Residential Treatment Center","Number","Children in Placement",7
"Region 3: Eastern","SFY 2012-2013","Hispanic","Out of State","High Meadows","Number","Children in Placement",0
"Region 3: Eastern","SFY 2012-2013","Hispanic","Out of State","Solnit Center","Number","Children in Placement",0
"Region 3: Eastern","SFY 2012-2013","Hispanic","Out of State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 3: Eastern","SFY 2012-2013","Hispanic","Out of State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",0
"Region 3: Eastern","SFY 2012-2013","Hispanic","Out of State","Independent Living","Number","Children in Placement",0
"Region 3: Eastern","SFY 2012-2013","Hispanic","Out of State","Total","Number","Children in Placement",15
"Region 3: Eastern","SFY 2012-2013","Other","In State","Foster Care","Number","Children in Placement",30
"Region 3: Eastern","SFY 2012-2013","Other","In State","Relative Foster Care","Number","Children in Placement",18
"Region 3: Eastern","SFY 2012-2013","Other","In State","Special Study","Number","Children in Placement",5
"Region 3: Eastern","SFY 2012-2013","Other","In State","Therapeutic Foster Care","Number","Children in Placement",9
"Region 3: Eastern","SFY 2012-2013","Other","In State","PDC or Safe Home","Number","Children in Placement",1
"Region 3: Eastern","SFY 2012-2013","Other","In State","Shelter","Number","Children in Placement",0
"Region 3: Eastern","SFY 2012-2013","Other","In State","Group Home","Number","Children in Placement",7
